NOM MENU;CODINT_0
Menu général;GENE
Traductions;ATRAD
Documentation;ATDOC
Fonctions;ATFCT
Traduction menus locaux;ALOCTRAD
Traduction processus;APRTRAD
Textes à traduire;ATXTTRAD
Traduction des libellés;FUNTRATXI
Traduction textes;GESATR
Outils;ATTLS
Export messages;AEXPATD
Export textes;AEXPATR
Génération textes;AGENREFAML
Génération réf. croisées;AGENREFTXT
Import messages;AIMPATD
Import textes;AIMPATR
Génération des libellés;ALANG
Recherche texte;ARECTXTTRD
Textes-Aplstd non traduits;ATXNOTRANS
Exceptions (traduction);GESAEX
Traduction écrans;GESAMD
Traduction tables;GESATT
Logiciel;ATPRD
Extraction documentation;ADOCEXT
Import documentation;ADOCIMP
Plan de travail documentation;ADOCTRA
Développement;GDEV
Synchronisation des textes;ATXTSRVSYNC
Utilitaires;GUTIL
Maintenances;UTI0
En lignes;GMAINT
En colonnes;GSTDCOL
Vérifications;UTI1
Analyse mémos;ANAMEMO
Vérification des sources;AVERIFSRC
Base de données;UTI1B
Etat des tables;ETAFIC
Recherche index;SQLDICO
Processus;TRTPRO
Propriétés;TRTPROP
Statistiques;TRTSTA
Données;UTI1D
Cohérences;UTIBASE
Dépendances;UTIDEP
Surveillances;UTI1S
Services;ADXD
Utilisateurs;PSADX
Verrous;UTI1V
Traitements verrouillés;LCKSRC
Symboles verrouillés;VERSYMB
Dictionnaire;UTI2
Mise à jour menus locaux;GENMENULOC
Génération transactions;GENMSKTRT
Synchronisation des fenêtres;SYNCHDICO
Archives;UTI2A
Génération de l'archive;ARCHGENTRT
Archive traitements;ARCHTRT
Copies;UTI2C
Dictionnaire;ACOPDIC
Copie élément client;ACOPELT
Fichiers;ACOPFIC
Codes postaux;ACOPPOS
Transactions;ACOPTRS
Législations;ADOSCOPDAT
Etats;COPRPT
Traitements;COPTRT
Analyseurs de différences;UTI2D
Objets;ACOMPOBJ
Arguments sous-programmes;ADIFSUB
Validations;UTI2V
Recodification processus;ARECOPRO
Profils fonction site;AVALAFC
Dictionnaire;VALDICO
Menus;VALMENU
Dossiers;UTI3
Initialisation textes traduisibles;AINITEXTRA
MAJ des utilisateurs nommés;ARECAUO
Changement de dossier;CHDOS
Création dossier historisé;CREHISTO
Déverrouillage dossier;DEVERROU
Import dossier;IMPDOS
Mode mono;MONO
Mode multi;MULTI
Remise à zéro dossier;RAZDOS
Verrouillage dossier;VERROU
Recherches;UTI4
Icônes;AICONE
Menu;ARECHMEN
Recherche rapide traitements;ARECSRC
Texte (avancée);ASEAAPL
Code d'accès;RECHACC
Action;RECHACI
Code activité;RECHACT
Divers;RECHADC
Champ;RECHAMZ
Message;RECHMESS
Texte;RECHTXT
Type de données;RECHTYP
Extraction/Intégration;UTI5
Extraction données;DOSEXTRA
Intégration données;DOSINTEG
Divers;UTI6
Changement de clé en masse;ACHANGE
Copie valeurs paramètres;ACOPADO
Activation des liaisons;ACTIVLNK
Suppressions;ADELETE
Trace pour le support;ALOGSUP
Gestion du portail;AMAINTPORT
Transactions système;AMIEXE
Envoi statistiques licence;AUSRSTA
Conversion UTF8;CNVUTF8
Exécution traitements;EXETRT
Mise à jour textes traduisibles;GENTXTTRA
Paramétrage changement de clé;GESACG
Pool Java Bridge;GESAPB
Pool de services web;GESAPW
Valeurs des compteurs;MODCPT
Resynchronisation des liaisons;RECUPLNK
Synchronisation des textes;SYNCHTXT
Ordres système;SYSTEME
Patchs;UTI7
Copie paramétrage;ACOPAPH
Création de patchs;APATCH
Création automatique de patchs;APATCHA
Modèle de paramétrage;GESAPH
Consultation de patchs;GESAPT
Intégration de patchs;PATCH
Test de patchs;PATCHT
Migration depuis 130;UTI8
Textes;RECTXTUTI
Pièces jointes et images;RECOBJTXT
Tables comptables;UTI9
Suppression comptes en masse;GACCDEL
Duplication comptes en masse;GACCDUP
Euro;EURO
Safe X3 WAS;AYT
Utilitaires;AYT1
Duplication de site web;AYTFCYCOP
Suppression site Web;AYTFCYDEL
Validation site Web;AYTFCYGEN
Gestion design/archive;AYTFCYTAR
Copie service web;AYTWSRGES
Cas d'emploi;CONSAYU
Paramétrage avancé;GESAYU
Génération liste de valeurs;PRHBATCH
Visualisation site web;VISUAYS
Fonctions;AYTF
Document Html;GESAYY
Formulaire;GESAYZ
Tokens;AYTK
Blocs;GESAYB
Champs;GESAYF
Pages Web;GESAYG
Liens dynamiques;GESAYL
Blocs conditionnés;GESAYW
Lien SAFE X3;AYTL
Action Web;GESAYA
Entité;GESAYE
Interface;GESAYI
Paramétrage;AYTP
Liste de valeurs;GESAYC
Message Web;GESAYM
Sites Web;AYTS
Sélection site courant;AYTCHGFCYW
Profils site Web;GESAYD
Sites Web;GESAYS
Tests;AYTT
Test site Web;GESAYT
Dictionnaire données;GDON
Vues;GESAVW
Classes;GSTR
Synchronisation des liens;AGENASWLNK
Validation classes systèmes;AGENCLATECH
Migration objet;AMIGSYR
Classes;GESACLA
Représentations;GESASW
Tables;GTAB
Eléments de dimensionnement;GESADM
Formules de dimensionnement;GESAFO
Tables;GESATB
Types de données;GESATY
Menus locaux - Messages;TXT
Tables diverses;GTAD
Données;GESADI
Définition;GESADV
Codification;GCOD
