M;FNC_0;ACS_0;OPT_0;PRFCOD_0;FCYGRUCOD_0;FCYGRU_0
M;ATRAD;2;;AVMET;0;
M;ATDOC;2;;AVMET;0;
M;ATFCT;2;;AVMET;0;
M;ALOCTRAD;2;;AVMET;0;
M;APRTRAD;2;;AVMET;0;
M;ATXTTRAD;2;;AVMET;0;
M;FUNTRATXI;2;;AVMET;0;
M;GESATR;2;CMS;AVMET;0;
M;GESATR;1;;AVPRJ;0;AVIA1
M;GESATR;2;;AVPRJ;0;CPR01
M;GESATR;2;CMS;AVMET;0;F0001
M;ATTLS;2;;AVMET;0;
M;AEXPATD;2;T;AVMET;0;
M;AEXPATR;2;T;AVMET;0;
M;AGENREFAML;2;;AVMET;0;
M;AGENREFTXT;2;;AVMET;0;
M;AIMPATD;2;T;AVMET;0;
M;AIMPATR;2;T;AVMET;0;
M;ALANG;2;;AVMET;0;
M;ARECTXTTRD;2;;AVMET;0;
M;ATXNOTRANS;2;;AVMET;0;
M;GESAEX;2;CMS;AVMET;0;
M;GESAMD;2;CMS;AVMET;0;
M;GESATT;2;CMS;AVMET;0;
M;ATPRD;2;;AVMET;0;
M;ADOCEXT;2;;AVMET;0;
M;ADOCIMP;2;;AVMET;0;
M;ADOCTRA;2;;AVMET;0;
M;GDEV;2;;AVMET;0;
M;GUTIL;2;;AVMET;0;
M;UTI0;2;;AVMET;0;
M;GMAINT;2;;AVMET;0;
M;GSTDCOL;2;;AVMET;0;
M;UTI1;2;;AVMET;0;
M;ANAMEMO;2;;AVMET;0;
M;AVERIFSRC;2;;AVMET;0;
M;UTI1B;2;;AVMET;0;
M;ETAFIC;2;;AVMET;0;
M;SQLDICO;2;;AVMET;0;
M;TRTPRO;2;;AVMET;0;
M;TRTPROP;2;;AVMET;0;
M;TRTSTA;2;;AVMET;0;
M;UTI1D;2;;AVMET;0;
M;UTIBASE;2;;AVMET;0;
M;UTIDEP;2;;AVMET;0;
M;UTI1S;2;;AVMET;0;
M;ADXD;2;;AVMET;0;
M;PSADX;2;KS;AVMET;0;
M;UTI1V;2;;AVMET;0;
M;LCKSRC;2;;AVMET;0;
M;VERSYMB;2;;AVMET;0;
M;UTI2;2;;AVMET;0;
M;GENMENULOC;2;;AVMET;0;
M;GENMSKTRT;2;;AVMET;0;
M;SYNCHDICO;2;;AVMET;0;
M;UTI2A;2;;AVMET;0;
M;ARCHGENTRT;2;;AVMET;0;
M;ARCHTRT;2;;AVMET;0;
M;UTI2C;2;;AVMET;0;
M;ACOPDIC;2;;AVMET;0;
M;ACOPELT;2;;AVMET;0;
M;ACOPFIC;2;;AVMET;0;
M;ACOPPOS;2;;AVMET;0;
M;ACOPTRS;2;;AVMET;0;
M;ADOSCOPDAT;2;;AVMET;0;
M;COPRPT;2;;AVMET;0;
M;COPTRT;2;;AVMET;0;
M;UTI2D;2;;AVMET;0;
M;ACOMPOBJ;2;;AVMET;0;
M;ADIFSUB;2;;AVMET;0;
M;UTI2V;2;;AVMET;0;
M;ARECOPRO;2;;AVMET;0;
M;AVALAFC;2;;AVMET;0;
M;VALDICO;2;;AVMET;0;
M;VALMENU;2;;AVMET;0;
M;UTI3;2;;AVMET;0;
M;AINITEXTRA;2;;AVMET;0;
M;ARECAUO;2;;AVMET;0;
M;CHDOS;2;;AVMET;0;
M;CREHISTO;2;;AVMET;0;
M;DEVERROU;2;;AVMET;0;
M;IMPDOS;2;;AVMET;0;
M;MONO;2;;AVMET;0;
M;MULTI;2;;AVMET;0;
M;RAZDOS;2;;AVMET;0;
M;VERROU;2;;AVMET;0;
M;UTI4;2;;AVMET;0;
M;AICONE;2;;AVMET;0;
M;ARECHMEN;2;;AVMET;0;
M;ARECSRC;2;;AVMET;0;
M;ASEAAPL;2;;AVMET;0;
M;RECHACC;2;;AVMET;0;
M;RECHACI;2;;AVMET;0;
M;RECHACT;2;;AVMET;0;
M;RECHADC;2;;AVMET;0;
M;RECHAMZ;2;;AVMET;0;
M;RECHMESS;2;;AVMET;0;
M;RECHTXT;2;;AVMET;0;
M;RECHTYP;2;;AVMET;0;
M;UTI5;2;;AVMET;0;
M;DOSEXTRA;2;;AVMET;0;
M;DOSINTEG;2;;AVMET;0;
M;UTI6;2;;AVMET;0;
M;ACHANGE;2;;AVMET;0;
M;ACOPADO;2;;AVMET;0;
M;ACTIVLNK;2;;AVMET;0;
M;ADELETE;2;;AVMET;0;
M;ALOGSUP;2;;AVMET;0;
M;AMAINTPORT;2;CMS;AVMET;0;
M;AMIEXE;2;;AVMET;0;
M;AUSRSTA;2;;AVMET;0;
M;CNVUTF8;2;;AVMET;0;
M;EXETRT;2;;AVMET;0;
M;GENTXTTRA;2;;AVMET;0;
M;GESACG;2;CMSN;AVMET;0;
M;GESAPB;2;CMS;AVMET;0;
M;GESAPW;2;CMS;AVMET;0;
M;MODCPT;2;;AVMET;0;
M;RECUPLNK;2;;AVMET;0;
M;SYNCHTXT;2;;AVMET;0;
M;SYSTEME;2;;AVMET;0;
M;UTI7;2;;AVMET;0;
M;ACOPAPH;2;;AVMET;0;
M;APATCH;2;;AVMET;0;
M;APATCHA;2;;AVMET;0;
M;GESAPH;2;CMS;AVMET;0;
M;GESAPT;2;CMS;AVMET;0;
M;PATCH;2;;AVMET;0;
M;PATCHT;2;;AVMET;0;
M;UTI8;2;;AVMET;0;
M;RECTXTUTI;2;;AVMET;0;
M;RECOBJTXT;2;;AVMET;0;
M;UTI9;2;;AVMET;0;
M;GACCDEL;2;;AVMET;0;
M;GACCDUP;2;;AVMET;0;
M;EURO;2;;AVMET;0;
M;AYT;2;;AVMET;0;
M;AYT1;2;;AVMET;0;
M;AYTFCYCOP;2;;AVMET;0;
M;AYTFCYDEL;2;;AVMET;0;
M;AYTFCYGEN;2;;AVMET;0;
M;AYTFCYTAR;2;;AVMET;0;
M;AYTWSRGES;2;;AVMET;0;
M;CONSAYU;2;;AVMET;0;
M;GESAYU;2;CMS;AVMET;0;
M;PRHBATCH;2;;AVMET;0;
M;VISUAYS;2;;AVMET;0;
M;AYTF;2;;AVMET;0;
M;GESAYY;2;CMS;AVMET;0;
M;GESAYZ;2;CMS;AVMET;0;
M;AYTK;2;;AVMET;0;
M;GESAYB;2;CMS;AVMET;0;
M;GESAYF;2;CMS;AVMET;0;
M;GESAYG;2;CMS;AVMET;0;
M;GESAYL;2;CMS;AVMET;0;
M;GESAYW;2;CMS;AVMET;0;
M;AYTL;2;;AVMET;0;
M;GESAYA;2;CMS;AVMET;0;
M;GESAYE;2;CMS;AVMET;0;
M;GESAYI;2;CMS;AVMET;0;
M;AYTP;2;;AVMET;0;
M;GESAYC;2;CMS;AVMET;0;
M;GESAYM;2;CMS;AVMET;0;
M;AYTS;2;;AVMET;0;
M;AYTCHGFCYW;2;;AVMET;0;
M;GESAYD;2;CMS;AVMET;0;
M;GESAYS;2;CMS;AVMET;0;
M;AYTT;2;;AVMET;0;
M;GESAYT;2;CMS;AVMET;0;
M;GDON;2;;AVMET;0;
M;GESAVW;2;CMS;AVMET;0;
M;GSTR;2;;AVMET;0;
