MENU;CODINT_0;FONCTION;NUM
Traductions;ATRAD;Traductions;1
Documentation;ATDOC;Traductions Documentation;2
Fonctions;ATFCT;Fonctions;3
Traduction menus locaux;ALOCTRAD;Traduction menus locaux;
Traduction processus;APRTRAD;Traduction processus;
Textes à traduire;ATXTTRAD;Textes à traduire;
Traduction des libellés;FUNTRATXI;Traduction désignations;
Traduction textes;GESATR;Traduction textes;
Outils;ATTLS;Outils;3
Export messages;AEXPATD;Export messages;
Export textes;AEXPATR;Export textes;
Génération textes;AGENREFAML;Génération textes;
Génération réf. croisées;AGENREFTXT;Cas d'emploi;
Import messages;AIMPATD;Import messages;
Import textes;AIMPATR;Import textes;
Génération des libellés;ALANG;Génération des libellés;
Recherche texte;ARECTXTTRD;Recherche  message / texte;
Textes-Aplstd non traduits;ATXNOTRANS;Textes-Aplstd non traduits;
Exceptions (traduction);GESAEX;Exceptions (traduction);
Traduction écrans;GESAMD;Traduction écrans;
Traduction tables;GESATT;Traduction tables;
Logiciel;ATPRD;Traductions Produit;2
Extraction documentation;ADOCEXT;Extraction documentation;
Import documentation;ADOCIMP;Import documentation;
Plan de travail documentation;ADOCTRA;Plan de travail documentation;
Développement;GDEV;Développement;1
Synchronisation des textes;ATXTSRVSYNC;Synchronisation des textes;
Utilitaires;GUTIL;Utilitaires superviseur;2
Maintenances;UTI0;Maintenances;3
En lignes;GMAINT;Maintenance des tables en lig.;
En colonnes;GSTDCOL;Maintenance en colonnes;
Vérifications;UTI1;Vérifications;3
Analyse mémos;ANAMEMO;Analyse mémos;
Vérification des sources;AVERIFSRC;Vérification des sources;
Base de données;UTI1B;Vérifications -Base de données;4
Etat des tables;ETAFIC;Etat des tables;
Recherche index;SQLDICO;Recherche index;
Processus;TRTPRO;Processus base de données;
Propriétés;TRTPROP;Propriétés base de données;
Statistiques;TRTSTA;Statistiques base de données;
Données;UTI1D;Vérifications - Données;4
Cohérences;UTIBASE;Vérification cohérence base;
Dépendances;UTIDEP;Contrôle des dépendances;
Surveillances;UTI1S;Vérifications - Surveillances;4
Services;ADXD;Surveillance services;
Utilisateurs;PSADX;Surveillance utilisateurs;
Verrous;UTI1V;Vérifications - Verrous;4
Traitements verrouillés;LCKSRC;Traitements verrouillés;
Symboles verrouillés;VERSYMB;Symboles verrouillés;
Dictionnaire;UTI2;Dictionnaire;3
Mise à jour menus locaux;GENMENULOC;Mise à jour menus locaux;
Génération transactions;GENMSKTRT;Génération transactions;
Synchronisation des fenêtres;SYNCHDICO;Synchronisation des fenêtres;
Archives;UTI2A;Archives;4
Génération de l'archive;ARCHGENTRT;Génération archive traitements;
Archive traitements;ARCHTRT;Archive traitements;
Copies;UTI2C;Dictionnaire - Copies;4
Dictionnaire;ACOPDIC;Copie dictionnaire;
Copie élément client;ACOPELT;Copie élément client;
Fichiers;ACOPFIC;Copie fichiers;
Codes postaux;ACOPPOS;Copie codes postaux;
Transactions;ACOPTRS;Copie transactions;
Législations;ADOSCOPDAT;Copie de données;
Etats;COPRPT;Copie états;
Traitements;COPTRT;Copie traitements;
Analyseurs de différences;UTI2D;Analyseurs de différences;4
Objets;ACOMPOBJ;Différence d'objets;
Arguments sous-programmes;ADIFSUB;Différence arguments sous-prog;
Validations;UTI2V;Dictionnaire - Validations;4
Recodification processus;ARECOPRO;Recodification processus;
Profils fonction site;AVALAFC;Resynch. profils fonction site;
Dictionnaire;VALDICO;Validation du dictionnaire;
Menus;VALMENU;Validation des menus;
Dossiers;UTI3;Dossiers;3
Initialisation textes traduisibles;AINITEXTRA;Init textes traduisibles;
MAJ des utilisateurs nommés;ARECAUO;MAJ des utilisateurs nommés;
Changement de dossier;CHDOS;Changement de dossier;
Création dossier historisé;CREHISTO;Création dossier historisé;
Déverrouillage dossier;DEVERROU;Déverrouillage dossier;
Import dossier;IMPDOS;Import dossier;
Mode mono;MONO;Mode mono;
Mode multi;MULTI;Mode multi;
Remise à zéro dossier;RAZDOS;Remise à zéro dossier;
Verrouillage dossier;VERROU;Verrouillage dossier;
Recherches;UTI4;Recherches;3
Icônes;AICONE;Affichage icônes;
Menu;ARECHMEN;Recherche menu;
Recherche rapide traitements;ARECSRC;Recherche rapide traitements;
Texte (avancée);ASEAAPL;Recherche  message / texte;
Code d'accès;RECHACC;Recherche code d'accès;
Action;RECHACI;Recherche action;
Code activité;RECHACT;Recherche code activité;
Divers;RECHADC;Recherche sur type de donnée;
Champ;RECHAMZ;Recherche champ;
Message;RECHMESS;Recherche message;
Texte;RECHTXT;Recherche texte;
Type de données;RECHTYP;Recherche type de données;
Extraction/Intégration;UTI5;Sauvegardes;3
Extraction données;DOSEXTRA;Extraction données;
Intégration données;DOSINTEG;Intégration données;
Divers;UTI6;Divers;3
Changement de clé en masse;ACHANGE;Changement de clé en masse;
Copie valeurs paramètres;ACOPADO;Copie valeurs paramètres;
Activation des liaisons;ACTIVLNK;Activation des liaisons;
Suppressions;ADELETE;Suppressions;
Trace pour le support;ALOGSUP;Trace pour le support;
Gestion du portail;AMAINTPORT;Gestion du portail;
Transactions système;AMIEXE;Transactions système;
Envoi statistiques licence;AUSRSTA;Envoi statistiques licence;
Conversion UTF8;CNVUTF8;Conversion UTF8;
Exécution traitements;EXETRT;Exécution traitements;
Mise à jour textes traduisibles;GENTXTTRA;Maj textes traduisibles;
Paramétrage changement de clé;GESACG;Paramétrage changement de clé;
Pool Java Bridge;GESAPB;Pool Java Bridge;
Pool de services web;GESAPW;Pool de services web;
Valeurs des compteurs;MODCPT;Valeurs des compteurs;
Resynchronisation des liaisons;RECUPLNK;Resynchronisation des liaisons;
Synchronisation des textes;SYNCHTXT;Synchronisation des textes;
Ordres système;SYSTEME;Exécution d'un ordre système;
Patchs;UTI7;Patchs;3
Copie paramétrage;ACOPAPH;Copie paramétrage;
Création de patchs;APATCH;Création de patchs;
Création automatique de patchs;APATCHA;Création automatique de patchs;
Modèle de paramétrage;GESAPH;Modèle de paramétrage;
Consultation de patchs;GESAPT;Consultation de patchs;
Intégration de patchs;PATCH;Intégration de patchs;
Test de patchs;PATCHT;Test de patchs;
Migration depuis 130;UTI8;Migration depuis 130;3
Textes;RECTXTUTI;Textes;
Pièces jointes et images;RECOBJTXT;Pièces jointes et images;
Tables comptables;UTI9;Tables comptables;3
Suppression comptes en masse;GACCDEL;Suppression comptes en masse;
Duplication comptes en masse;GACCDUP;Duplication comptes en masse;
Euro;EURO;Utilitaires EURO;3
Safe X3 WAS;AYT;Safe X3 WAS;2
Utilitaires;AYT1;Utilitaires;3
Duplication de site web;AYTFCYCOP;Duplication de site web;
Suppression site Web;AYTFCYDEL;Suppression site Web;
Validation site Web;AYTFCYGEN;Validation site Web;
Gestion design/archive;AYTFCYTAR;Gestion design/archive;
Copie service web;AYTWSRGES;Copie service web;
Cas d'emploi;CONSAYU;Cas d'emploi;
Paramétrage avancé;GESAYU;Paramétrage avancé;
Génération liste de valeurs;PRHBATCH;Génération liste de valeurs;
Visualisation site web;VISUAYS;Visualisation site web;
Fonctions;AYTF;Fonctions;3
Document Html;GESAYY;Document Html;
Formulaire;GESAYZ;Formulaire;
Tokens;AYTK;Tokens;3
Blocs;GESAYB;Blocs;
Champs;GESAYF;Champs;
Pages Web;GESAYG;Pages Web;
Liens dynamiques;GESAYL;Liens dynamiques;
Blocs conditionnés;GESAYW;Blocs conditionnés;
Lien SAFE X3;AYTL;Lien SAFE X3;3
Action Web;GESAYA;Action Web;
Entité;GESAYE;Entité;
Interface;GESAYI;Interface;
Paramétrage;AYTP;Paramétrage;3
Liste de valeurs;GESAYC;Liste de valeurs;
Message Web;GESAYM;Message Web;
Sites Web;AYTS;Sites Web;3
Sélection site courant;AYTCHGFCYW;Sélection site courant;
Profils site Web;GESAYD;Profils site Web;
Sites Web;GESAYS;Sites Web;
Tests;AYTT;Tests;3
Test site Web;GESAYT;Test site Web;
Dictionnaire données;GDON;Dictionnaire données;2
Vues;GESAVW;Dictionnaire des vues;
Classes;GSTR;Classes;3
Synchronisation des liens;AGENASWLNK;Synchronisation des liens;
Validation classes systèmes;AGENCLATECH;Validation classes systèmes;
Migration objet;AMIGSYR;Migration objet;
Classes;GESACLA;Classes;
Représentations;GESASW;Représentations;
Tables;GTAB;Dictionnaire données - Tables;3
Eléments de dimensionnement;GESADM;Eléments de dimensionnement;
Formules de dimensionnement;GESAFO;Formules de dimensionnement;
Tables;GESATB;Dictionnaire des tables;
Types de données;GESATY;Types de données;
Menus locaux - Messages;TXT;Messages applicatif;
Tables diverses;GTAD;Dictionnaire données -Tab.div.;3
Données;GESADI;Tables diverses;
Définition;GESADV;Définition tables diverses;
Codification;GCOD;Codification;3
Abréviations;GESAAB;Table des abréviations;
Rubriques;GESACO;Codification des rubriques;
Mémos;GESAMM;Mémos;
Documentation;GDOC;Documentation;3
Liens de documentation;GESADF;Liens de documentation;
Documentation;GESADO;Documentation;
Documentation sur champs;GESADZ;Documentation sur champs;
Mots-clés d'aide;GESAMC;Mot-clé d'aide;
Ouverture au paramétrage;GDOP;Dict.données -Ouvert.param.;3
Variables de type compteur;GESACM;Compteurs;
Constantes;GESACST;Constante;
Contexte;GESACTX;Contexte;
Codes activité;GESACV;Codes activité;
Définition paramètres;GESADP;Définition paramètres;
Variables globales;GESAGB;Variables globales;
Historisation / Epuration;GESAHI;Historisation / Epuration;
Content type;GESATYP;Content type;
Contexte assistant de formules;GESAVR;Contexte assistant de formules;
Modèles de données;GESAWM;Modèles de données;
Portail interactif;GPORT;Portail interactif;2
Création archive flash;ARCHFLASH;Création archive flash;
Paramètres portail;GESAPP;Paramètres portail;
Familles gadgets;GESATP;Familles gadgets;
Dictionnaire scripts;GTRT;Dictionnaire scripts;2
Consultations;GESACN;Consultations;
Fonctions;GESAFC;Dictionnaire des fonctions;
Transactions de mise à jour;GESAMI;Transactions système;
Navigation;GESANG;Navigation;
Objets;GESAOB;Objets de base;
Etats;GESARP;Dictionnaire des états;
Etats ZPL;GESARZ;Etats ZPL;
Types de transactions;GESATN;Types de transactions;
Fenêtres;GESAWI;Gestion des fenêtres;
Actions;GTRA;Dictionnaire trait. - Actions;3
Paramètres actions;GESAAR;Paramètres des actions;
Actions;GESACT;Dictionnaire des actions;
Ecrans;GTRE;Dictionnaire trait. - Ecrans;3
Ecrans;GESAMK;Dictionnaire des écrans;
Composants graphiques;GESASB;Composants graphiques;
Composants écran;GESAUR;Composants écran;
Scripts;GTRR;Dictionnaire trait. - Trait.;3
Editeur scripts;ADOTRT;Editeur scripts;
Dictionnaire scripts;GESADC;Dictionnaire scripts;
Points d'entrée;GESAPE;Points d'entrée;
Sous-programmes;GESASU;Sous-programmes;
Services web;GESAWE;Services web;
Tests unitaires;GUNIT;Tests unitaires;2
Récupération données stables;ATSTREC;Récupération données stables;
Sauvegarde données stables;ATSTSAV;Sauvegarde données stables;
Données de base;MDBA;Données de base;1
Contrôle de gestion;MCDBA;Contrôle de gestion;2
Sections de valorisation;GESMWC;Sections de valorisation;
Catégories frais généraux;GESONA;Catégories frais généraux;
Codes frais généraux;GESOVE;Codes frais généraux;
Configurateur;MCFGM;Configurateur;2
Configurateur;FUNCFG;Configurateur;
